,cells,host,samples,media,abx_c,replicate,ID,media_source,sample_source,destination,prep_date
F04,y,DH5a,pJUMP47-2A(pSC101),EZRDM,50,2,pJUMP47-2A(pSC101)|50ug|2,A2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F4 of 3 on Temperature Module GEN2 on 3,25/09/2022
G04,y,DH5a,pJUMP47-2A(pSC101),EZRDM,75,0,pJUMP47-2A(pSC101)|75ug|0,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G4 of 3 on Temperature Module GEN2 on 3,25/09/2022
H04,y,DH5a,pJUMP47-2A(pSC101),EZRDM,75,1,pJUMP47-2A(pSC101)|75ug|1,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H4 of 3 on Temperature Module GEN2 on 3,25/09/2022
A05,y,DH5a,pJUMP47-2A(pSC101),EZRDM,75,2,pJUMP47-2A(pSC101)|75ug|2,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A5 of 3 on Temperature Module GEN2 on 3,25/09/2022
B05,y,DH5a,pJUMP47-2A(pSC101),EZRDM,100,0,pJUMP47-2A(pSC101)|100ug|0,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B5 of 3 on Temperature Module GEN2 on 3,25/09/2022
C05,y,DH5a,pJUMP47-2A(pSC101),EZRDM,100,1,pJUMP47-2A(pSC101)|100ug|1,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C5 of 3 on Temperature Module GEN2 on 3,25/09/2022
D05,y,DH5a,pJUMP47-2A(pSC101),EZRDM,100,2,pJUMP47-2A(pSC101)|100ug|2,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D5 of 3 on Temperature Module GEN2 on 3,25/09/2022
E05,y,DH5a,pJUMP43-2A(pBBR1),EZRDM,0,0,pJUMP43-2A(pBBR1)|0ug|0,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E5 of 3 on Temperature Module GEN2 on 3,25/09/2022
F05,y,DH5a,pJUMP43-2A(pBBR1),EZRDM,0,1,pJUMP43-2A(pBBR1)|0ug|1,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F5 of 3 on Temperature Module GEN2 on 3,25/09/2022
G05,y,DH5a,pJUMP43-2A(pBBR1),EZRDM,0,2,pJUMP43-2A(pBBR1)|0ug|2,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G5 of 3 on Temperature Module GEN2 on 3,25/09/2022
H05,y,DH5a,pJUMP43-2A(pBBR1),EZRDM,25,0,pJUMP43-2A(pBBR1)|25ug|0,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H5 of 3 on Temperature Module GEN2 on 3,25/09/2022
A06,y,DH5a,pJUMP43-2A(pBBR1),EZRDM,25,1,pJUMP43-2A(pBBR1)|25ug|1,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A6 of 3 on Temperature Module GEN2 on 3,25/09/2022
